Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
18/11/2020;72,34;74,00;72,10;73,87;1311194,00;96346247,00
17/11/2020;72,64;73,08;72,02;72,85;1234159,00;89754805,00
16/11/2020;71,25;73,66;71,15;72,79;2219047,00;161038222,00
13/11/2020;70,38;71,11;70,16;70,74;1693385,00;119750758,00
12/11/2020;69,41;70,87;69,10;70,70;1975554,00;138862854,00
11/11/2020;69,50;70,88;68,64;70,34;2169822,00;152280989,00
10/11/2020;67,76;69,54;67,38;69,50;3193087,00;219137822,00
09/11/2020;64,72;69,06;64,55;67,63;4097264,00;276013080,00
06/11/2020;64,54;64,82;63,13;63,58;1771124,00;112897643,00
05/11/2020;63,25;64,79;62,88;64,79;2058301,00;132359723,00
04/11/2020;60,22;63,28;59,92;62,52;1934346,00;119492611,00
03/11/2020;60,40;62,12;60,40;62,12;1655547,00;102161583,00
02/11/2020;59,00;60,16;58,13;59,68;1548483,00;91974920,00
30/10/2020;57,40;58,87;57,37;58,68;1564460,00;91430733,00
29/10/2020;57,86;58,96;57,58;58,33;1788596,00;104305271,00
28/10/2020;59,73;59,96;57,25;58,06;3729376,00;217515689,00
27/10/2020;63,23;63,29;61,34;61,47;1839591,00;113790650,00
26/10/2020;62,86;64,12;62,78;63,21;1118941,00;70942430,00
23/10/2020;64,00;64,66;63,63;63,93;974170,00;62493612,00
22/10/2020;63,47;64,30;62,06;64,01;1218032,00;77395999,00
21/10/2020;64,71;64,97;63,56;63,81;1553620,00;99568624,00
20/10/2020;63,50;64,28;62,41;64,07;1491163,00;95025317,00
19/10/2020;63,20;63,92;62,80;63,62;1035903,00;65738534,00
16/10/2020;63,29;63,57;62,35;63,12;1515264,00;95564142,00
15/10/2020;62,69;62,69;60,99;62,17;1977291,00;122254062,00
14/10/2020;64,37;64,55;63,90;64,08;964688,00;61895103,00
13/10/2020;64,69;64,94;63,69;64,25;1122504,00;72173476,00
12/10/2020;64,73;65,45;64,41;65,09;1019626,00;66187122,00
09/10/2020;65,77;66,26;64,30;64,70;1254025,00;81398183,00
08/10/2020;65,90;66,41;65,28;65,72;1309221,00;86114042,00
07/10/2020;65,00;65,76;64,23;65,74;1467108,00;95722602,00
06/10/2020;63,99;65,59;63,81;64,85;1654516,00;107463848,00
05/10/2020;63,25;64,38;63,06;64,03;1224129,00;78264919,00
02/10/2020;62,20;62,64;61,73;62,36;891578,00;55473503,00
01/10/2020;63,11;63,11;61,99;62,66;1376243,00;86066299,00
30/09/2020;61,50;62,70;61,20;61,99;1485337,00;91999986,00
29/09/2020;61,21;62,07;60,73;62,00;1409149,00;86997395,00
28/09/2020;59,97;61,73;59,83;61,73;1666530,00;102259203,00
25/09/2020;60,55;60,62;58,78;59,06;1428136,00;84685275,00
24/09/2020;60,00;61,33;59,83;60,64;1589221,00;96218076,00
23/09/2020;61,30;62,53;60,60;60,96;1432762,00;88026900,00
22/09/2020;60,56;61,46;60,27;60,58;1335710,00;81202986,00
21/09/2020;63,19;63,40;60,03;60,49;2508068,00;153057860,00
18/09/2020;64,78;64,83;63,74;63,74;3248812,00;208400590,00
17/09/2020;63,42;64,96;63,37;64,81;1064841,00;68587852,00
16/09/2020;64,41;64,85;63,93;64,71;1175318,00;75803371,00
15/09/2020;64,40;65,00;63,83;64,32;1084823,00;69897710,00
14/09/2020;64,79;64,92;63,71;64,12;1017966,00;65365703,00
11/09/2020;63,45;64,53;62,63;64,31;1435601,00;91693250,00
10/09/2020;63,70;64,50;63,64;63,74;1185784,00;75835642,00
09/09/2020;63,11;63,99;62,63;63,74;1374055,00;87362744,00
08/09/2020;62,74;63,52;62,30;63,17;1534636,00;96602975,00
07/09/2020;61,89;62,72;61,73;62,58;1268510,00;79040105,00
04/09/2020;60,74;62,01;60,62;61,38;1634908,00;100448424,00
03/09/2020;60,90;61,85;60,19;60,80;1727583,00;105721312,00
