Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-11-18;110,80;112,50;110,00;112,50;437.546;48.765.269
2020-11-17;110,50;111,90;109,45;111,50;626.094;69.492.259
2020-11-16;107,60;110,90;107,35;110,50;702.270;77.080.827
2020-11-13;107,25;107,80;105,95;106,70;538.247;57.522.106
2020-11-12;105,40;107,90;104,80;107,35;605.189;64.768.970
2020-11-11;104,15;107,15;102,40;106,20;631.463;66.643.102
2020-11-10;102,10;107,65;101,35;107,05;920.488;97.147.599
2020-11-09;95,60;103,40;94,92;102,40;1.113.831;111.849.184
2020-11-06;93,94;95,12;90,74;93,06;767.030;71.151.446
2020-11-05;93,36;94,36;91,98;94,34;642.984;60.181.612
2020-11-04;91,82;93,80;90,86;92,80;955.039;88.265.913
2020-11-03;92,90;94,48;92,60;93,50;630.728;58.991.652
2020-11-02;92,24;93,48;90,50;92,16;583.638;53.804.687
2020-10-30;89,00;91,76;88,50;91,28;456.086;41.386.074
2020-10-29;90,90;91,72;89,38;90,18;574.374;51.918.115
2020-10-28;93,06;93,26;90,42;90,86;800.498;73.275.593
2020-10-27;97,86;98,12;95,08;95,08;593.902;57.022.509
2020-10-26;99,60;101,00;98,04;98,08;435.578;43.139.776
2020-10-23;100,80;102,40;100,10;101,15;558.551;56.610.723
2020-10-22;101,50;102,65;99,42;100,50;771.667;77.841.000
2020-10-21;102,25;103,30;100,80;101,70;636.590;64.968.868
2020-10-20;102,00;102,95;101,40;102,10;343.429;35.080.604
2020-10-19;101,35;102,55;100,55;102,50;420.560;42.858.026
2020-10-16;100,15;101,55;99,84;101,15;613.452;61.923.731
2020-10-15;97,80;98,26;95,96;97,96;705.448;68.573.102
2020-10-14;98,10;99,86;97,70;99,28;436.976;43.307.273
2020-10-13;99,30;99,62;97,44;98,02;651.976;64.188.316
2020-10-12;100,40;101,50;99,12;99,88;580.773;58.100.033
2020-10-09;102,60;102,70;99,94;100,50;465.405;46.845.923
2020-10-08;102,65;103,90;101,40;102,25;519.076;53.133.896
2020-10-07;99,00;102,45;98,84;101,85;494.091;49.751.207
2020-10-06;98,46;100,00;98,46;99,58;540.722;53.793.354
2020-10-05;97,46;98,80;97,18;98,32;913.117;89.660.893
2020-10-02;94,88;96,60;94,10;96,26;637.838;61.110.219
2020-10-01;93,64;96,08;92,92;95,30;729.815;69.138.806
2020-09-30;91,00;93,60;90,26;92,48;627.681;57.752.202
2020-09-29;91,86;92,52;90,66;92,14;449.164;41.232.211
2020-09-28;90,78;92,58;90,32;92,58;568.811;52.239.229
2020-09-25;89,16;89,94;88,34;88,88;689.671;61.447.104
2020-09-24;85,70;91,04;85,46;88,80;895.241;79.335.718
2020-09-23;86,84;89,06;86,32;87,32;516.156;45.380.127
2020-09-22;84,74;86,32;84,34;85,66;532.248;45.520.996
2020-09-21;89,00;89,08;84,40;84,58;864.497;74.102.992
2020-09-18;93,58;93,58;89,86;90,00;1.037.103;93.933.726
2020-09-17;93,20;94,06;92,32;93,70;533.869;49.827.468
2020-09-16;94,44;95,40;94,04;95,10;411.209;38.974.449
2020-09-15;96,20;96,32;94,14;94,74;477.986;45.373.228
2020-09-14;94,42;95,80;92,92;95,80;545.532;51.741.728
2020-09-11;94,46;94,50;91,38;93,28;653.805;60.706.747
2020-09-10;93,34;96,56;93,34;94,80;646.193;61.357.939
2020-09-09;93,56;94,00;92,58;93,40;676.155;63.061.228
2020-09-08;95,00;95,30;92,36;93,90;649.647;60.660.282
2020-09-07;95,10;96,12;94,94;95,16;447.390;42.708.315
2020-09-04;92,66;95,48;92,30;94,12;687.995;64.985.241
2020-09-03;92,68;94,86;92,34;93,04;644.349;60.314.277
2020-09-02;89,52;92,04;89,48;91,80;612.919;55.928.351
2020-09-01;92,20;92,74;88,10;89,06;582.136;52.186.312
2020-08-31;91,50;93,30;90,90;91,20;450.917;41.354.927
2020-08-28;91,86;92,30;90,62;91,36;334.485;30.635.889
2020-08-27;91,50;92,56;91,02;91,30;402.499;36.897.640
2020-08-26;89,54;91,18;88,86;91,18;273.060;24.709.042
2020-08-25;90,30;91,50;89,60;90,00;352.835;31.868.247
2020-08-24;87,82;89,48;87,52;89,48;452.203;40.222.978
2020-08-21;89,24;89,86;86,86;87,28;483.007;42.301.542
2020-08-20;89,30;90,18;88,10;88,54;491.532;43.719.421
2020-08-19;90,78;91,30;90,18;90,78;333.973;30.300.266
2020-08-18;90,62;93,30;90,16;91,42;386.191;35.504.459
2020-08-17;92,98;93,40;91,22;91,34;319.166;29.302.753
2020-08-14;91,32;92,92;90,74;92,80;482.860;44.557.312
2020-08-13;91,50;93,18;90,88;91,60;508.610;46.834.121
2020-08-12;90,70;92,72;90,36;91,76;644.250;59.129.440
2020-08-11;84,18;90,94;84,14;90,82;1.141.743;101.752.581
2020-08-10;82,28;83,26;81,20;83,26;365.720;30.179.884
2020-08-07;82,20;82,48;79,04;81,26;742.624;59.824.399
2020-08-06;84,48;85,22;82,32;82,54;615.728;51.228.494
2020-08-05;86,82;88,66;84,04;84,72;669.066;57.349.567
2020-08-04;86,50;88,00;86,02;86,48;419.642;36.386.547
2020-08-03;82,64;85,74;82,04;85,68;502.472;42.517.757
2020-07-31;86,02;86,54;82,56;82,56;684.381;57.174.356
2020-07-30;89,28;89,36;84,86;85,98;1.042.827;89.765.496
2020-07-29;90,72;90,92;89,00;89,40;384.098;34.363.585
2020-07-28;91,48;92,38;90,00;90,70;361.779;32.854.016
2020-07-27;90,38;91,24;89,70;90,62;550.885;49.885.085
2020-07-24;90,58;91,20;89,88;90,60;554.183;50.240.170
2020-07-23;89,84;92,10;89,84;91,68;639.083;58.455.854
2020-07-22;90,60;91,06;88,26;89,40;539.755;48.235.883
2020-07-21;89,50;92,14;89,02;91,22;882.339;80.350.586
2020-07-20;86,98;88,54;85,88;88,16;596.989;52.454.416
2020-07-17;87,30;88,72;86,96;87,40;798.162;70.039.755
2020-07-16;85,94;86,52;84,16;86,20;670.361;57.364.922
2020-07-15;85,02;87,50;84,96;86,50;581.114;50.189.922
2020-07-14;86,20;87,24;84,50;87,00;498.559;42.946.264
2020-07-13;87,54;89,26;86,54;87,10;525.083;45.943.977
2020-07-10;82,26;85,90;82,00;85,90;542.665;45.874.259
2020-07-09;85,06;85,80;83,20;83,44;568.191;47.898.249
2020-07-08;87,00;87,68;84,24;84,24;663.016;56.558.001
2020-07-07;87,92;89,30;87,08;87,78;451.846;39.892.956
2020-07-06;88,86;90,70;87,36;88,54;514.624;45.705.222
2020-07-03;88,40;89,16;85,80;86,36;365.679;31.748.941
2020-07-02;85,20;89,08;85,02;87,76;881.298;77.458.567
2020-07-01;85,82;86,02;84,16;84,36;705.400;59.904.441
2020-06-30;87,88;88,42;86,04;87,16;502.964;43.830.212
2020-06-29;84,46;87,76;84,18;87,22;484.098;41.916.504
2020-06-26;87,14;87,56;84,50;85,04;451.294;38.699.068
2020-06-25;84,00;86,64;83,24;86,02;671.038;57.333.998
2020-06-24;88,24;89,40;84,18;84,18;559.181;48.018.349
2020-06-23;88,70;90,74;87,96;88,82;480.835;42.970.848
2020-06-22;84,76;88,70;84,32;87,56;610.819;53.344.676
2020-06-19;87,28;87,66;85,92;85,92;919.284;79.396.311
2020-06-18;86,66;88,34;85,96;86,72;693.771;60.320.348
2020-06-17;88,70;89,46;85,98;87,00;615.914;53.864.615
2020-06-16;91,04;91,30;86,76;88,76;737.866;65.785.104
2020-06-15;83,60;88,60;83,28;87,74;631.497;54.742.190
2020-06-12;85,30;88,68;85,12;86,30;1.199.873;104.357.743
2020-06-11;87,52;88,84;85,84;85,84;927.335;80.767.071
2020-06-10;94,98;96,26;90,22;91,48;797.912;73.532.768
2020-06-09;97,98;98,64;92,40;94,92;1.056.448;100.089.124
2020-06-08;97,72;100,95;96,82;97,58;890.613;88.134.554
2020-06-05;92,00;98,74;92,00;98,64;1.520.248;146.588.146
2020-06-04;90,86;94,46;90,50;91,64;1.539.368;141.832.797
2020-06-03;94,00;96,10;92,70;95,52;1.068.599;101.562.192
2020-06-02;91,00;94,44;90,34;92,08;1.062.048;98.320.108
2020-05-29;90,00;90,12;88,04;88,44;1.174.228;104.180.517
2020-05-28;93,40;94,30;90,78;92,60;1.376.202;111.205.475
2020-05-27;88,14;92,66;87,94;91,78;1.488.267;135.699.582
2020-05-26;84,86;88,22;84,24;87,84;1.112.431;96.551.987
2020-05-25;82,80;82,90;80,30;82,90;405.065;33.207.579
2020-05-22;78,72;82,60;78,04;81,58;815.169;66.120.312
2020-05-21;79,84;81,64;78,90;80,50;568.541;45.715.013
2020-05-20;80,02;81,28;76,94;80,96;695.074;55.459.870
2020-05-19;80,50;81,22;78,18;80,68;1.088.407;86.917.597
2020-05-18;75,50;80,08;75,10;79,96;1.173.800;92.198.873
2020-05-15;72,14;75,00;71,84;74,04;923.047;67.954.853
2020-05-14;70,50;72,30;68,80;71,30;1.237.642;87.490.061
2020-05-13;76,20;76,20;71,40;71,40;908.951;66.363.834
2020-05-12;77,50;78,80;76,90;77,30;474.957;36.857.788
2020-05-11;80,22;80,90;77,68;78,04;590.292;46.467.717
2020-05-08;75,78;79,46;75,48;79,12;934.757;73.085.179
2020-05-07;73,70;78,02;73,56;74,96;805.006;60.516.112
2020-05-06;76,78;77,78;74,80;74,80;698.825;52.973.501
2020-05-05;74,68;77,42;74,08;76,70;1.014.590;77.527.641
2020-05-04;74,72;74,88;71,76;73,84;1.118.341;82.290.146
2020-04-30;82,00;82,98;76,84;77,20;1.432.053;112.981.098
2020-04-29;74,88;80,52;74,18;80,40;1.269.530;99.575.847
2020-04-28;74,26;75,80;72,98;74,26;1.147.914;85.705.608
2020-04-27;71,80;73,94;70,70;73,94;798.879;58.049.351
2020-04-24;69,66;71,46;68,12;69,74;693.368;48.410.686
2020-04-23;69,64;71,64;68,66;71,42;609.044;42.840.567
2020-04-22;69,20;69,38;67,46;68,92;487.978;33.423.991
2020-04-21;70,04;70,10;67,44;68,18;906.145;61.956.914
2020-04-20;73,90;73,90;70,16;71,50;795.877;56.988.463
2020-04-17;72,98;73,86;71,34;73,12;1.255.257;91.540.162
2020-04-16;70,10;71,68;68,34;69,38;599.409;41.889.297
2020-04-15;74,70;74,70;69,04;69,06;942.425;66.367.005
2020-04-14;75,10;75,52;73,42;74,22;851.678;63.256.160
2020-04-09;71,66;73,38;70,02;73,04;981.029;70.637.639
2020-04-08;69,40;70,60;68,40;70,10;793.987;55.342.110
2020-04-07;69,24;71,50;67,72;69,70;1.257.441;87.785.480
2020-04-06;63,60;66,88;62,50;66,58;941.624;61.338.596
2020-04-03;60,00;61,84;59,06;60,04;639.221;38.669.676
2020-04-02;60,32;62,94;58,50;60,18;1.382.496;83.723.545
2020-04-01;62,50;63,42;60,30;60,50;1.001.118;61.691.607
2020-03-31;64,72;66,69;63,52;65,61;950.299;61.882.743
2020-03-30;64,87;65,20;62,01;64,03;703.076;44.634.166
2020-03-27;67,00;67,68;64,07;64,70;912.599;59.647.541
2020-03-26;65,51;68,77;64,83;68,77;854.231;57.365.325
2020-03-25;69,30;71,42;63,89;67,02;937.878;62.717.106
2020-03-24;61,18;65,81;60,00;65,81;1.267.478;80.357.993
2020-03-23;54,50;58,38;53,40;57,95;1.230.290;69.552.304
2020-03-20;56,70;58,84;56,55;57,36;1.856.029;106.924.437
2020-03-19;56,50;58,17;51,45;54,13;1.233.149;66.325.872
2020-03-18;57,50;59,21;55,78;56,63;1.118.148;64.090.130
2020-03-17;63,12;64,06;57,08;60,95;1.490.761;89.099.672
2020-03-16;60,84;63,98;56,63;60,46;1.822.186;108.129.966
2020-03-13;67,03;73,39;62,00;64,75;2.307.416;154.624.726
2020-03-12;74,46;74,74;63,53;64,62;2.334.765;161.337.750
2020-03-11;79,27;82,54;77,48;78,28;1.428.852;113.437.619
2020-03-10;79,65;85,15;78,68;79,28;2.109.103;172.747.586
2020-03-09;80,51;81,54;77,77;79,10;2.211.697;175.979.402
2020-03-06;80,69;87,70;80,34;85,55;2.584.849;217.504.899
2020-03-05;92,00;92,40;83,75;84,36;3.451.834;297.529.155
2020-03-04;99,01;100,34;96,11;96,26;1.294.629;126.559.252
2020-03-03;99,68;102,00;98,01;98,44;1.288.902;128.887.949
2020-03-02;102,00;102,70;96,37;97,83;1.411.466;139.025.080
2020-02-28;100,02;103,26;99,12;101,62;2.197.617;222.476.786
2020-02-27;102,74;103,96;100,06;102,50;1.106.850;113.031.069
2020-02-26;103,00;106,18;102,70;105,22;1.220.001;127.707.867
2020-02-25;109,12;109,24;103,30;103,58;1.138.732;118.955.782
2020-02-24;106,22;108,14;104,26;107,48;1.098.407;116.998.497
2020-02-21;112,16;112,76;110,30;111,88;1.093.671;121.988.304
2020-02-20;111,60;114,16;110,24;112,70;573.768;64.776.876
2020-02-19;111,12;112,48;109,16;111,62;554.783;61.626.148
2020-02-18;110,44;111,88;109,48;110,54;698.912;77.294.416
2020-02-17;112,74;115,60;111,78;112,36;754.595;85.565.952
2020-02-14;111,06;113,80;110,68;110,80;686.118;76.756.040
2020-02-13;109,86;111,28;108,04;111,18;741.925;81.624.192
2020-02-12;104,36;112,24;104,32;111,04;1.610.417;176.493.968
2020-02-11;104,90;106,76;103,24;104,14;1.036.115;108.015.048
2020-02-10;105,44;105,82;103,50;104,04;520.591;54.260.896
2020-02-07;106,20;106,62;104,32;105,76;634.830;66.906.460
2020-02-06;108,00;110,74;106,36;106,42;882.371;95.309.952
2020-02-05;105,90;107,24;105,44;107,04;1.000.080;106.086.368
2020-02-04;103,08;103,90;101,84;102,76;552.366;56.832.916
2020-02-03;102,98;104,04;101,66;102,30;614.771;63.055.156
2020-01-31;102,84;103,42;101,66;102,94;777.721;79.946.360
2020-01-30;101,40;103,86;101,00;103,04;742.491;76.379.448
2020-01-29;104,40;104,64;103,10;103,26;672.437;69.603.368
2020-01-28;101,10;105,20;99,26;104,30;1.603.120;164.684.112
2020-01-27;100,86;101,92;99,78;100,32;926.355;93.326.504
2020-01-24;107,38;107,50;102,88;103,10;1.339.874;139.997.840
2020-01-23;109,50;109,52;106,62;106,62;1.102.301;118.907.256
2020-01-22;111,60;112,82;109,80;110,42;878.518;97.610.104
2020-01-21;111,46;113,22;109,60;111,22;812.121;90.857.272
2020-01-20;114,54;115,16;112,84;113,24;627.272;71.230.024
2020-01-17;116,50;117,04;113,92;114,72;739.439;85.043.544
2020-01-16;117,54;118,34;114,60;115,56;704.617;81.641.312
2020-01-15;117,66;118,16;116,24;117,24;573.116;67.094.272
2020-01-14;115,74;118,66;115,24;117,62;734.233;86.172.208
2020-01-13;119,40;119,40;115,28;115,90;730.717;85.034.360
