Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-11-18;98,56;100,68;98,32;100,00;3.200.979;319.236.618
2020-11-17;100,36;100,64;98,05;98,53;3.743.907;370.561.100
2020-11-16;102,40;102,92;100,28;100,28;3.911.790;396.690.812
2020-11-13;100,32;102,56;100,12;101,22;3.047.022;309.111.089
2020-11-12;101,00;102,14;100,24;100,28;3.102.238;313.141.742
2020-11-11;99,80;101,84;99,70;101,52;3.926.755;396.722.445
2020-11-10;99,88;101,46;98,44;99,09;5.525.046;550.227.632
2020-11-09;99,77;103,34;98,37;98,97;8.836.477;884.948.851
2020-11-06;97,50;98,80;95,96;97,25;4.410.580;428.818.645
2020-11-05;98,70;99,80;97,55;98,21;6.031.481;594.383.407
2020-11-04;93,28;97,04;93,11;96,75;5.385.873;513.557.509
2020-11-03;91,23;94,43;90,56;93,95;5.304.596;492.279.208
2020-11-02;92,20;92,55;89,93;90,18;6.750.240;614.666.746
2020-10-30;92,65;93,71;90,65;91,49;6.772.568;622.916.787
2020-10-29;92,48;94,17;90,70;93,26;8.118.477;749.776.864
2020-10-28;96,95;97,16;91,91;92,24;11.914.772;1.114.863.874
2020-10-27;100,00;101,24;96,84;96,95;14.314.818;1.417.143.785
2020-10-26;100,00;105,40;96,34;97,50;22.200.336;2.220.182.744
2020-10-23;124,50;125,32;124,08;124,90;1.746.267;217.970.617
2020-10-22;124,28;124,80;122,60;124,50;2.360.335;292.579.842
2020-10-21;127,94;127,98;124,84;124,92;2.433.244;305.190.090
2020-10-20;130,78;131,34;127,54;127,54;1.948.091;250.534.088
2020-10-19;133,16;134,34;131,00;131,00;1.413.353;186.579.610
2020-10-16;131,20;134,10;130,56;132,84;1.982.619;262.552.209
2020-10-15;132,58;133,16;129,52;130,56;2.092.833;273.577.295
2020-10-14;134,42;135,62;133,96;134,32;1.168.173;157.223.487
2020-10-13;134,30;134,70;132,78;134,08;1.326.801;177.579.229
2020-10-12;133,50;134,64;132,64;134,38;1.157.483;155.115.145
2020-10-09;132,34;133,08;131,12;133,06;1.506.407;199.436.406
2020-10-08;131,22;132,82;130,72;132,34;1.563.472;206.432.341
2020-10-07;131,90;131,98;129,48;130,38;1.654.910;216.142.800
2020-10-06;132,86;132,86;130,72;131,46;1.379.980;181.586.423
2020-10-05;133,12;133,50;131,50;132,40;1.229.708;162.606.265
2020-10-02;132,10;133,54;131,50;132,76;1.417.115;187.919.132
2020-10-01;134,44;134,56;132,44;133,74;1.575.372;210.283.672
2020-09-30;133,00;134,16;131,58;132,76;1.911.468;254.142.369
2020-09-29;133,92;134,38;133,08;134,16;1.286.122;172.272.207
2020-09-28;130,98;134,86;130,36;134,66;2.404.084;321.380.264
2020-09-25;131,92;131,96;127,20;129,96;2.232.956;289.425.075
2020-09-24;130,64;132,20;129,72;131,96;1.784.629;234.463.191
2020-09-23;134,26;134,84;132,00;132,00;1.486.774;197.595.738
2020-09-22;132,04;133,88;132,04;132,50;2.181.539;289.667.788
2020-09-21;135,00;135,54;130,44;131,00;2.611.450;344.149.023
2020-09-18;135,30;138,12;135,06;135,50;6.750.513;920.432.138
2020-09-17;133,44;136,36;133,12;135,52;1.575.107;213.035.374
2020-09-16;136,46;137,64;135,10;135,96;1.639.969;223.311.277
2020-09-15;135,98;136,34;134,92;135,28;1.378.521;186.613.222
2020-09-14;136,72;137,30;135,10;135,56;1.090.646;148.059.260
2020-09-11;136,50;136,90;134,04;135,50;1.558.938;211.088.035
2020-09-10;138,34;138,48;135,36;136,02;1.567.887;214.112.204
2020-09-09;132,66;137,92;132,52;137,52;1.936.110;263.699.708
2020-09-08;136,50;136,68;131,88;133,44;2.137.498;285.772.055
2020-09-07;133,84;137,00;133,42;136,82;1.212.227;164.714.738
2020-09-04;135,38;137,38;130,48;132,86;3.145.260;421.521.252
2020-09-03;142,44;143,32;136,36;137,32;2.355.908;329.359.456
2020-09-02;140,26;142,40;139,40;141,50;2.284.225;323.007.056
2020-09-01;139,64;140,80;137,48;138,64;1.785.599;248.092.764
2020-08-31;140,22;140,64;137,58;138,04;1.656.416;229.483.178
2020-08-28;140,38;140,74;138,80;139,76;1.449.213;202.381.252
2020-08-27;142,74;142,88;140,08;140,36;1.504.126;212.323.198
2020-08-26;139,88;142,26;139,24;142,26;1.442.643;204.002.837
2020-08-25;139,22;140,52;138,86;139,26;1.458.054;203.568.408
2020-08-24;137,00;139,32;137,00;138,60;1.425.467;197.449.409
2020-08-21;137,50;138,00;134,70;135,80;2.025.280;276.052.508
2020-08-20;135,50;136,88;134,78;136,54;1.533.941;208.942.226
2020-08-19;135,04;137,42;134,80;136,84;1.248.577;170.618.416
2020-08-18;135,28;137,42;134,68;135,32;1.577.919;214.164.784
2020-08-17;135,00;136,38;135,00;135,66;951.666;129.189.509
2020-08-14;136,54;137,18;135,06;135,24;1.258.424;170.528.719
2020-08-13;137,48;137,84;135,84;137,12;1.432.603;196.009.212
2020-08-12;136,66;138,14;135,06;138,08;1.550.526;212.539.546
2020-08-11;135,62;138,12;134,56;137,10;2.024.722;277.485.841
2020-08-10;136,52;136,92;134,20;134,94;1.492.682;201.825.096
2020-08-07;135,46;137,48;134,90;137,22;1.527.331;208.620.572
2020-08-06;135,86;137,84;134,92;135,24;1.582.722;214.787.007
2020-08-05;136,20;137,16;135,90;136,00;1.568.042;213.901.262
2020-08-04;138,50;138,50;133,76;135,32;2.028.269;274.615.824
2020-08-03;134,54;138,16;134,30;137,54;2.374.262;325.338.968
2020-07-31;134,00;136,30;133,62;133,78;2.530.930;340.425.630
2020-07-30;139,50;139,50;132,60;133,52;2.662.433;358.424.823
2020-07-29;137,06;140,06;137,00;139,56;1.576.655;219.660.136
2020-07-28;140,60;140,72;137,00;137,76;1.923.632;265.885.756
2020-07-27;141,00;141,06;138,10;139,30;2.146.435;299.363.757
2020-07-24;136,84;137,18;134,94;135,64;2.911.843;395.720.135
2020-07-23;142,80;142,82;141,08;141,26;2.013.707;284.833.376
2020-07-22;141,52;142,76;140,64;142,24;1.497.826;212.758.734
2020-07-21;141,28;143,20;141,06;141,86;2.029.889;288.550.730
2020-07-20;136,78;139,40;135,80;139,24;1.720.263;237.938.072
2020-07-17;136,20;136,58;135,22;135,90;2.284.279;310.214.684
2020-07-16;136,08;137,02;135,36;135,46;2.111.962;287.012.325
2020-07-15;135,66;137,78;134,84;137,34;2.797.576;382.051.101
2020-07-14;134,04;134,52;131,18;133,94;2.563.924;341.123.005
2020-07-13;137,08;138,16;135,76;137,52;2.162.648;296.590.686
2020-07-10;134,52;135,56;133,60;135,04;2.106.071;283.844.007
2020-07-09;137,50;139,72;133,98;134,68;4.127.715;565.150.433
2020-07-08;127,82;129,50;127,66;128,78;1.659.263;213.410.730
2020-07-07;130,32;130,42;127,82;128,78;1.782.075;229.370.845
2020-07-06;129,68;130,80;129,00;130,72;1.962.994;255.501.010
2020-07-03;128,00;128,30;127,12;127,58;1.407.442;179.750.223
2020-07-02;125,32;127,66;124,54;127,66;2.649.799;335.830.094
2020-07-01;122,98;124,16;121,44;123,86;1.979.534;244.210.660
2020-06-30;122,72;124,46;122,18;124,32;2.438.697;301.724.363
2020-06-29;122,32;123,40;121,46;122,44;2.611.429;319.991.618
2020-06-26;122,00;125,06;121,36;122,12;2.213.330;272.312.858
2020-06-25;119,84;121,78;118,12;120,80;2.709.382;325.886.688
2020-06-24;124,14;124,58;120,10;120,10;3.178.092;386.095.806
2020-06-23;125,60;127,78;124,98;125,50;3.193.594;403.046.246
2020-06-22;121,98;125,48;121,52;124,02;2.872.553;355.759.515
2020-06-19;121,60;124,76;120,92;123,48;11.148.444;1.376.505.462
2020-06-18;120,30;122,34;119,36;120,40;3.548.641;428.256.824
2020-06-17;118,48;120,74;117,54;120,24;3.340.030;399.327.285
2020-06-16;116,00;119,82;115,30;118,82;3.929.508;464.984.986
