Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
30/10/2020;11472.61;11614.13;11450.08;11556.48;3818383500
29/10/2020;11631.07;11707.43;11458.56;11598.07;4492894315
28/10/2020;11848.31;11852.02;11457.12;11560.51;6123283387
27/10/2020;12206.42;12223.6;12034.8;12063.57;4458787791
26/10/2020;12303.41;12404.51;12174.22;12177.18;4630467745
23/10/2020;12517.98;12718.27;12514.99;12645.75;2513683335
22/10/2020;12429.41;12583.02;12345.45;12543.06;2909118130
21/10/2020;12764.45;12765.05;12545.59;12557.64;2867053671
20/10/2020;12819.15;12850.29;12725.45;12736.95;2614014935
19/10/2020;12948.63;13028.73;12820.26;12854.66;2195226565
16/10/2020;12773.35;12955.86;12733.06;12908.99;3538289071
15/10/2020;12826.13;12839.55;12599.82;12703.75;3642669763
14/10/2020;13012.69;13066.44;12975.12;13028.06;2350438318
13/10/2020;13132.9;13132.9;12959.7;13018.99;2385315762
12/10/2020;13086.06;13151.8;13058.34;13138.41;2240694228
09/10/2020;13070.04;13096.44;13009.98;13051.23;2765980235
08/10/2020;13011.23;13100.85;12956.64;13042.21;2915079264
07/10/2020;12901.29;12959.02;12837.11;12928.57;2936224798
06/10/2020;12858.97;12966.09;12779.65;12906.02;2559399816
05/10/2020;12824.05;12842.48;12727.75;12828.31;2494159745
02/10/2020;12558.78;12690.25;12539.86;12689.04;3036345323
01/10/2020;12812.08;12836.65;12671.23;12730.77;3974397159
30/09/2020;12754.77;12869.96;12698.42;12760.73;3148049138
29/09/2020;12817.79;12859.14;12738.3;12825.82;2352748248
28/09/2020;12673.73;12873.4;12660.15;12870.87;4469395830
25/09/2020;12615.91;12622.77;12341.58;12469.2;3148879034
24/09/2020;12520.47;12684.8;12512.5;12606.57;2849318596
23/09/2020;12737.32;12830.7;12642.97;12642.97;2884681838
22/09/2020;12629.71;12698.12;12592.97;12594.39;3187859717
21/09/2020;12998.9;12998.9;12505.16;12542.44;5027602443
18/09/2020;13210.86;13263.44;13116.25;13116.25;9407779153
17/09/2020;13060.18;13245.87;13035.94;13208.12;2692789829
16/09/2020;13224.16;13277.23;13181.56;13255.37;2929505633
15/09/2020;13220.81;13262.81;13138.2;13217.67;2682977643
14/09/2020;13329.61;13339.14;13159.72;13193.66;2156252075
11/09/2020;13198.74;13255.47;13117.46;13202.84;2697607253
10/09/2020;13265.51;13297.71;13161.93;13208.89;2754412812
09/09/2020;12990.52;13257.54;12973.46;13237.21;3252729506
08/09/2020;13126.23;13147.52;12856.55;12968.33;3409959458
07/09/2020;12931.4;13117.61;12920.92;13100.28;2477308493
04/09/2020;12916.12;13127.08;12753.69;12842.66;4126500597
03/09/2020;13354.72;13460.46;13004.83;13057.77;3856493734
02/09/2020;13071.66;13303.17;13062.17;13243.43;3609288543
01/09/2020;13037.2;13127.28;12850.3;12974.25;2877444993
31/08/2020;13103.93;13148.19;12923.76;12945.38;2966260637
28/08/2020;13140.6;13147.24;12951.26;13033.2;2793409385
27/08/2020;13206.58;13218.05;13087.37;13096.36;2515405040
26/08/2020;13041.83;13192.32;13010.53;13190.15;2110583365
25/08/2020;13136.77;13221.82;13060.87;13061.62;2665141957
24/08/2020;12945.97;13104.31;12924.7;13066.54;2885757184
21/08/2020;12879.45;12911.27;12633.71;12764.8;3119694180
20/08/2020;12829.39;12891.14;12755.52;12830;2324862149
19/08/2020;12838.63;12980.7;12833.8;12977.33;2221352708
18/08/2020;12836.87;13052.84;12807;12881.76;2295605155
17/08/2020;12924.88;12960.84;12847.85;12920.66;1707984403
14/08/2020;12965.22;12971.08;12797.52;12901.34;2158306131
13/08/2020;13044.47;13075.25;12956.3;12993.71;2261408644
12/08/2020;12917.34;13101.12;12879.11;13058.63;2686137414
11/08/2020;12806.97;13046.13;12802.06;12946.89;3648839676
10/08/2020;12729.1;12753.12;12605.82;12687.53;2175611171
07/08/2020;12634.79;12691.66;12517.44;12674.88;2655162038
06/08/2020;12664.55;12799.21;12519.85;12591.68;3460325878
05/08/2020;12667.12;12757.03;12632.99;12660.25;3105667041
04/08/2020;12744.13;12768.58;12528.07;12600.87;2969555708
03/08/2020;12374.46;12698.56;12365.61;12646.98;3331281547
31/07/2020;12403.1;12524.75;12313.36;12313.36;3562766408
30/07/2020;12762.12;12768.71;12253.92;12379.65;4435373745
29/07/2020;12819.63;12864.39;12789.97;12822.26;2664561143
28/07/2020;12886.23;12936.01;12746.46;12835.28;2465755322
27/07/2020;12865.75;12908.66;12811.44;12838.66;2348130282
24/07/2020;12919.31;12935.5;12812.02;12838.06;2743382117
23/07/2020;13183.5;13217.73;13072.82;13103.39;3151823910
22/07/2020;13165.29;13197.92;13067.06;13104.25;2910174788
21/07/2020;13194.93;13313.9;13147.3;13171.83;3587382420
20/07/2020;12898.11;13063.69;12811.72;13046.92;2611348111
17/07/2020;12915.27;12954.25;12870.27;12919.61;3404131105
16/07/2020;12857.3;12919.23;12805.47;12874.97;3040673519
15/07/2020;12812.11;12999.84;12773.44;12930.98;3659155518
14/07/2020;12642.23;12697.91;12535.9;12697.36;3246138704
13/07/2020;12817.19;12836.41;12688.94;12799.97;2833246084
10/07/2020;12442.22;12649.99;12416.69;12633.71;3019460338
09/07/2020;12639.17;12709.68;12459.16;12489.46;3244944170
08/07/2020;12542.58;12670.19;12463.22;12494.81;2982893347
07/07/2020;12660.09;12661.12;12525.18;12616.8;2827381282
06/07/2020;12774.77;12842.59;12655.21;12733.45;2918378464
03/07/2020;12644.6;12649.98;12476.13;12528.18;2109046617
02/07/2020;12378.8;12658.17;12370.72;12608.46;3919659440
01/07/2020;12391.72;12391.72;12095.11;12266.89;3039046420
30/06/2020;12287.94;12350.35;12188.09;12310.93;3775502404
29/06/2020;12090.41;12297.68;12045.26;12232.12;3726548242
26/06/2020;12308.48;12347.45;12060.89;12089.39;3262164157
25/06/2020;12102.25;12236.46;11957.31;12177.87;3970670508
24/06/2020;12459.81;12489.24;12093.94;12093.94;3983596348
23/06/2020;12360.09;12616.12;12332.1;12523.76;4637879299
22/06/2020;12194.48;12399.37;12172.12;12262.97;3436633098
19/06/2020;12375.18;12447.15;12319.19;12330.76;9812854711
18/06/2020;12347.49;12483.84;12189.67;12281.53;6390350882
17/06/2020;12312.44;12432.23;12288.17;12382.14;4300361302
16/06/2020;12168.37;12434.27;12132.8;12224.96;5549074936
15/06/2020;11661.36;11968.06;11597.82;11911.35;4038654918
12/06/2020;11876.34;12172.63;11828.66;11949.28;4998615300
11/06/2020;12223.42;12301.95;11970.29;11970.29;5437379077
10/06/2020;12719.15;12763.89;12471.06;12530.16;4256116492
09/06/2020;12859.83;12864.91;12502.45;12617.99;6006118150
08/06/2020;12722.68;12913.13;12670.95;12819.59;5751258213
05/06/2020;12565.16;12858.79;12560.19;12847.68;7484833054
04/06/2020;12390.03;12558.24;12326.44;12430.56;5959610586
03/06/2020;12147.12;12507.41;12133.7;12487.36;6407983715
02/06/2020;11896.7;12055.57;11850.34;12021.28;5918807383
29/05/2020;11649.37;11729.98;11575.74;11586.85;6945382712
28/05/2020;11746.78;11813.14;11654.83;11781.13;4769111005
27/05/2020;11530.2;11747.2;11519.77;11657.69;6065363933
26/05/2020;11488.99;11544.35;11429.88;11504.65;4419768641
25/05/2020;11186.04;11391.28;11118.12;11391.28;2747113844
22/05/2020;10896.28;11138.15;10867.17;11073.87;3106348455
21/05/2020;11088.12;11194.92;11036.91;11065.93;2629264675
20/05/2020;11029.33;11246.91;10978.57;11223.71;3820479525
19/05/2020;11200.92;11201.18;10936.07;11075.29;4739306210
18/05/2020;10683.86;11089.5;10677.52;11058.87;4801765326
15/05/2020;10470.85;10547.19;10382.54;10465.17;4452706979
14/05/2020;10418.04;10474.08;10160.89;10337.02;4732673174
13/05/2020;10669.99;10698.13;10530.32;10542.66;4095816447
12/05/2020;10777.74;10886.01;10772.58;10819.5;3358148918
11/05/2020;10948.24;10986.22;10740.82;10824.99;3393555283
08/05/2020;10882.44;10918.32;10819.07;10904.48;3345111636
